상품명,종류,가격(원),칼로리(kcal),탄수화물(g),단백질(g),지방(g)
매일) 아몬드브리즈 언스위트,음료,1000,35,2.8,1.2,2.3
유어스) 고깃집맛 된장국,기타,1500,40,4,3,1.2
매일) 아몬즈브리즈 오리지널,음료,1200,45,5.4,1.2,2.3
유어스) 계란국,기타,1200,45,5,2,2
유어스) 미역국,기타,1200,45,5,1,2
매일) 아몬드브리즈 식이섬유 130ml,음료,1200,60,11,1,2.3
종근당건강) 프로틴 이온워터,음료,2900,60,5,10,0
한성) 몬스터크랩,단백질,2300,60,7,6,0.8
wellygo) 리얼죽 단호박,기타,2300,65,13,2,0.4
매일) 아몬드브리즈 프로틴,음료,1200,65,5.6,4.2,3
행복담기) 훈제 메추리알 쏙쏙!,단백질,1700,70,4,4,4.2
고래사) 구운새우 고래바,단백질,2700,71,6.8,7.2,1.6
폰타나) 스위트콘컵수프,기타,1900,75,16,1,1
삼립) 트러플향 소시지,단백질,2300,78,2,4,6
동원) 리얼 가쓰오 크랩스,단백질,3900,80,13,5,1.1
유어스) 사골꼬마 만둣국,기타,1800,80,9,2,4
곰표) 찐어묵바,단백질,2500,84,7.8,8.4,2.1
보노) 어니언크림수프,기타 ,1900,85,11,1.1,4.1
한성) 크래미 ,단백질,2700,85,11,9,0.5
랩노쉬) 마시는 식사 비건 카카오,음료,3200,90,22,8,1.9
셀렉스) 프로핏 웨이프로틴 아메리카노 ,음료,2900,90,3,20,0
랩노쉬) 드링크 고구마&펌킨,음료,2200,95,14,2,6
천하장사) 고단백 & 저지방 후랑크,단백질,2500,95,6,12,2.6
피그인더가든) 갈릭감바스 미니샐러드,샐러드,3500,95,6,7,4.8
셀렉스) 프로핏 웨이프로틴 복숭아,음료,2900,99,2.5,20,0
셀렉스) 프로핏 웨이프로틴 초콜릿,음료,2900,99,2.9,20,0.8
남양) 테이크핏 맥스 초코맛,음료,2500,100,2,21,1.1
랩노쉬) 드링크 감자&솔티드 카라멜,음료,2200,100,14,3,5.8
한성) 와일드 크래미 쉬림프,단백질,4900,100,11,11,1.2
행복담기) 동의 구운란,단백질,2100,100,0,10,6.6
남양) 테이크핏 맥스 고소한맛,음료,2500,105,3,21,1.1
빙그레) 더단백 초코,음료,2500,105,7,20,0.6
빙그레) 더단백 카라멜,음료,2500,105,6,20,1
하림) 닭가슴살 슬라이스 오리지널,단백질,2900,105,3,20,1.3
허닭) 슬라이스 닭가슴살 오리지널,단백질,2900,105,1,20,2.5
허닭) 슬라이스 닭가슴살 케이준,단백질,2900,105,1,21,2
빙그레) 더단백 커피,음료,2500,110,7,20,1
하림) 수비드 닭가슴살 갈릭,단백질,3900,110,2,17,3.5
동서) 오곡코코볼 ,영양바류,1200,112,17,1,4.4
포스트) 콘푸라이트 베리요거트바,영양바류,1200,112,21,1,2.7
효성) 땡초 어묵바,단백질,2500,114,13.1,8.2,3.1
바르닭) 수비드 닭가슴살 오리지널,단백질,3900,115,2,23,1.4
포스트) 골든그레놀라밀크바,영양바류,1200,115,19.2,1.4,3.8
하림) 닭가슴살 블랙패퍼 ,단백질,3400,115,1,24,1.6
하림) 수비드 닭가슴살 오리지널,단백질,3900,115,2,23,1.4
닥터유) 드링크 단백질 카페라떼,음료,1800,116,15,12,0.9
켈로그) 콘푸로스트 ,기타,1700,116,26.7,1.5,0.4
하림) 닭가슴살 리얼바 할라피뇨,단백질,2500,116,3,15,4.8
하림) 닭가슴살 리얼바 오리지널,단백질,2500,117,4,15,4.6
켈로그) 첵스초코,기타,1700,118,25.5,1.5,1.1
효성) 치즈 어묵바,단백질,2500,118,13.6,9,3
gs25) 훈제대란 ,단백질,2100,120,0,12,8.4
대광푸드) 오늘이거닭 닭가슴살 오리지널,단백질,2900,120,0,28,0.8
대림선) 스노우크랩킹 ,단백질,1900,120,12,16,0
청정원) 닭가슴살 한입꼬치 오리지널,단백질,2100,120,9,12,3.9
하림) 닭가슴살 리얼바 갈릭,단백질,2500,120,3,15,5
하림) 수비드 닭가슴살 바질올리브,단백질,3900,120,2,22,2.4
하림) 수비드 닭가슴살 블랙페퍼,단백질,3900,120,1,23,2.2
켈로그) 프로틴 그래놀라바 ,영양바류,1400,121,19,6,2.7
대광푸드) 오늘이거닭 닭가슴살 훈제,단백질,2900,125,3,26,1.1
본죽) 영양삼계죽,기타,3800,125,18,7,2.7
일일하우) 오트리치,음료,2500,125,23,4,2.2
청정원) 닭가슴살 한입꼬치 로제,단백질,2100,125,9,12,4.4
팜에이트) 훈제 닭가슴살 샐러드,샐러드,3500,125,13.62,12.53,2.14
하림) 닭가슴살 소시지 블랙페퍼,단백질,2300,125,1,26,1.8
한성) 잡채어묵마,단백질,1900,125,21,8,1.1
그릭슈바인) 닭가슴살 후랑크,단백질,2000,128,3,11,8
켈로그) 아몬드 푸레이크,기타,1700,128,23.6,1.8,2.9
더건강한) 닭가슴살 소시지 청양고추,단백질,2000,130,4,13,7
세렉스) 프로틴베리바,영양바류,1600,130,18,6,3.8
일동후디스) 하이뮨 프로틴밸런스 액티브,음료,2900,130,6,20,2.8
하림) 수비드 닭가슴살 레몬,단백질,3900,130,3,23,2.8
허닭) 슬라이스 닭가슴살 바질,단백질,2900,131,4,23,2.6
gs25) 감동란,단백질,2100,132,4,12,7.2
하림) 닭가슴살 리얼바 치즈,단백질,2000,133,4,15,6
뉴트리그램) 솔직담백 쿠키앤크림,음료,2000,135,20,11,4.5
일동후디스) 하이뮨 프로틴밸런스 액티브 초코,음료,2900,135,7,20,3
뉴트리그램) 솔직담백 더블초코,음료,2000,137,20,11,4.6
허닭) 슬라이스 닭가슴살 허브믹스,단백질,2900,139,3,24,3.4
풀무원) 브런치샐러드 홍게살콘,샐러드,2300,140,21,3,6
하림) 닭가슴살 리얼바 소시지패퍼,단백질,2500,140,3,15,7
하림) 닭가슴살 소시지 허브,단백질,2500,140,3,15,8
크라운) 고단백초코바,영양바류,1500,141,19,6,4.5
미주라) 초코칩 통밀도너츠,기타,1000,143,19.4,3.1,5.3
허닭) 슬라이스 닭가슴살 훈제,단백질,2900,144,3,25,3.5
비비고) 매콤 문어김치죽,기타,4500,145,27,6,1.5
양반) 야채죽,기타,4500,145,29,2,2.3
닥터유) 드링크 단백질 바나나,음료,1800,149,20,12,2.3
비비고) 누릉지 닭백숙죽,기타,4500,150,26,7,1.8
비비고) 소고기죽,기타,4500,150,27,6,2.2
양반) 영양닭죽,기타,4500,150,26,8,1.1
양반) 전복죽,기타,4500,150,26,5,2.7
폰타나) 스위트콘 크림 수프,기타,3800,150,20,4,6
닥터유) 닥터유 프로 드링크 단백질 초코,음료,2900,151,5,24,3.9
마켓오) 오! 그레놀라 유산균바,영양바류,1200,153,25,2,5
더 건강한) 닭가슴살 큐브 톡톡,단백질,3700,155,3,16,9
비비고) 버섯 야채죽,기타,3900,155,30,4,2
양반) 수라전복내장죽,기타,5200,155,26,4,3.8
켈로그) 크런치넛에너지,영양바류,1200,155,16.2,3.2,8.6
하림) real 닭가슴살 그릴 스테이크 허브,단백질,3400,155,8,22,4.1
켈로그) 프로틴 그레놀라바,영양바류,1300,156,18,7,7
홈푸트) 양치승의 왕큐브 닭가슴살 매콤청양고추,단백질,2900,156,3.3,33,1.4
던킨) 프로틴바,영양바류,1200,157,15,4,9
랩노쉬) 프로틴드링크 바나나,음료,3200,160,18,27,0
본죽) 누룽지닭죽,기타,3900,160,31,5,1.7
파스퇴르) 이지 프로틴 초코,음료,2800,160,19,20,1.5
닥터유) 에너지바 컴팩트,영양바류,1200,163,17,5,9
본죽) 얼큰 낙지김치죽,기타,3900,165,32,7,1
본죽) 전복죽,기타,3900,165,25,3,6
양반) 쇠고기죽,기타,4500,165,26,7,3.7
켈로그) 다크초코&씨솔트 에너지바,영양바류,1500,165,12.4,4.8,10.7
파스퇴르) 이지 프로틴 시리얼,음료,2800,165,19,20,1.5
한성기업) NEW 숯불구이맛 후랑크 ,단백질,1700,165,13,8,9
행복담기) 햇닭알 녹차추출물 훈제란,단백질,2700,165,1.2,18,9.9
닥터유) 드링크 단백질 초코,음료,1800,167,25,12,2.1
마켓오) 오! 그레놀라 철분바,영양바류,1200,167,22,4,7
랩노쉬) 프로틴드링크 라떼 ,음료,3200,170,20,27,0.9
랩노쉬) 프로틴드링크 카카오,음료,3200,170,19,27,0.9
헬시플레이스) 빼바 프로틴바 다크,영양바류,2400,170,16,10,7
오리온) 핫브레이크,영양바류,1000,174,23,3,8
salad foret) 치킨 칠리 누들 샐러드,샐러드,5500,180,31.09,9.22,1.69
랩노쉬) 마시는 식사 마일드 라떼 ,음료,3200,180,26,24,0
비비고) 매콤 차돌된장죽,기타,4500,180,30,7,3.6
풀무원) 브런치샐러드 리코타고구마,샐러드,2300,180,14,3,13
마켓오) 오! 그레놀라 단백질바,영양바류,1200,183,24,6,7
대림선) 숯불구이맛 후랑크2,단백질,1900,185,8,11,12
허닭) 슬라이스 닭가슴살 매콤칠리,단백질,2900,185,3,26.5,4
gs25) 순수 고구마,기타,3000,186,43.85,1.51,0.46
닥터유) 에너지바,영양바류,1200,188,20,6,10
브레디크) 이즈니버터 휘낭시에,기타,1300,188,18,2,12
양반) 수라한우쇠고기죽,기타,5200,190,28,6,6
양반) 참치죽,기타,4500,190,34,4,4.3
풍림푸드) 오늘은 치즈에그롤,기타,2200,190,10,14,10
브레디크) 무화과호두 휘낭시에,기타,1300,193,17,2,13
